Month Year  EOF-1  EOF-2  EOF-3  EOF-4  EOF-5  EOF-6  EOF-7  EOF-8  EOF-9 EOF-10
    3 1991  -5.27  22.84 -13.03   4.66   3.45  -0.38  -0.39  -1.17   0.99  -0.02
    4 1991 -17.74  21.92  -5.24  -3.72   5.46  -3.21  -4.60   0.95  -0.82   0.08
    5 1991 -30.33  12.81  -4.38   1.66   2.01   1.21  -1.85   1.03  -1.07  -0.03
    6 1991 -35.90   2.02  -7.23   4.57   1.25   2.77  -1.01   1.14   0.84  -0.18
    7 1991 -39.74  -3.65 -11.75   1.48  -0.49   3.73   0.41   0.79   1.22  -0.35
    8 1991 -35.59  -8.32  -9.46  -8.04  -7.12   1.73  -2.17   1.60   2.37  -0.66
    9 1991 -35.63  -8.92  -7.87  -7.22  -4.26   0.59  -1.28   0.96   1.94  -0.58
   10 1991 -15.59 -22.94  12.11  -3.70   3.44  -1.32  -0.37   0.59   0.59   0.11
   11 1991 -16.42 -24.59  11.64  -2.42   4.99   0.21   4.08   1.77   0.51  -0.16
   12 1991  -0.36 -31.23  15.21   7.31   3.63   0.38   1.46   1.58   0.29   0.44
    1 1992  -8.18 -33.26  16.37   5.10   7.27   5.77  -1.62   5.10   0.70  -0.00
    2 1992  -5.01 -38.08  21.72   3.04  -1.22  -2.11  -7.83   1.67   0.53  -0.26
    3 1992  -0.67 -40.58  21.02   4.40   3.22   5.01  -4.60   5.65   0.22  -0.92
    4 1992  10.57 -41.23  15.35   8.79   2.58   0.04  -6.15   2.00  -0.54   0.20
    5 1992  21.89 -35.67  -1.35  10.26  -1.30   3.58  -0.52  -2.11   1.17  -0.08
    6 1992  28.37 -30.86 -12.83   8.94  -5.14   3.15   1.33  -3.56  -0.18   0.22
    7 1992  34.57 -20.95 -17.32  -1.83   3.26  -0.71   0.81   3.13  -1.24   0.28
    8 1992  47.82 -18.01 -13.40  -8.49   2.76  -2.16   0.50   3.36   0.24  -0.38
    9 1992  51.72  -8.56  -8.10 -13.83   2.07  -3.09  -0.34   1.32   2.96  -0.87
   10 1992  49.27  -2.87  -3.75 -10.63  11.30   2.28   0.07  -4.98  -0.73  -0.36
   11 1992  49.91   7.62   4.56  -9.73   2.39   4.38  -0.07  -1.95  -1.47  -0.26
   12 1992  44.90  19.20  10.76  -1.43   4.52   7.35   2.12   1.41  -2.75   0.66
    1 1993  41.85  18.33  14.56   7.75   3.20   1.28   2.08  -0.80  -1.16   0.72
    2 1993  46.14  17.34  13.73   6.21  -0.02   1.55   1.81   0.34  -0.40   0.37
    3 1993  39.68  18.55   8.52  10.25   3.70  -2.02   1.88  -1.50   0.45  -0.03
    4 1993  25.32  23.87  -0.34  13.21  -0.35  -0.34  -1.74  -0.75   0.27   0.28
    5 1993  -1.97  31.90  -2.89   7.94   7.80  -1.44   1.12  -0.71   1.21  -0.05
    6 1993 -22.18  30.95  -5.06   2.68   8.56   0.05  -2.67   0.64   0.82  -0.16
    7 1993 -31.91  25.95  -1.11  -2.95   3.90   0.18  -2.85  -1.26  -1.06   0.38
    8 1993 -37.33  24.58  -1.16  -5.96   6.46   1.48  -2.99   0.68  -0.30   0.09
    9 1993 -42.99  20.54  -1.73  -6.20   5.57   2.93  -3.14   1.08  -1.35  -0.28
   10 1993 -44.23  14.10  -3.22  -3.19   2.25   3.67  -1.22  -0.69   0.83   0.56
   11 1993 -46.38   4.61  -2.07   1.01  -2.42   1.61  -1.54  -0.63   1.07  -0.36
   12 1993 -46.83  -1.16  -2.06   1.36  -4.37   3.66   0.70  -1.62  -0.49   0.11
    1 1994 -45.59  -2.05  -3.65   6.38  -3.81   7.29  -0.10   0.82  -0.33   0.77
    2 1994 -47.62  -8.34  -7.49   1.27  -9.24   4.41  -1.62  -1.44  -0.90   0.05
    3 1994 -49.13  -9.77  -7.61   6.26  -6.90   3.27  -0.54  -0.23   0.66  -0.16
    4 1994 -46.62 -15.72 -13.73   8.02  -3.97   0.65  -0.52   2.41  -0.62   0.38
    5 1994 -34.88 -30.12 -11.95   1.51   3.10  -6.22   2.45  -2.26   0.16   0.09
    6 1994 -16.79 -43.40   0.54  -7.70  10.87  -0.81   1.63  -2.08  -1.00   0.10
    7 1994  -0.47 -46.09  -1.94  -5.30   3.08   5.52  -7.69  -0.26  -2.41   0.40
    8 1994  19.84 -46.18  -9.27  -0.36  -5.05   5.18  -0.57  -2.73  -0.96   1.01
    9 1994  33.49 -41.91 -13.76   0.96  -2.71   6.65   3.62  -0.75  -1.12   0.33
   10 1994  42.24 -22.89 -14.86 -14.58   1.37  -0.40  -0.92   1.45   1.08  -0.85
   11 1994  47.44  -3.40  -6.30 -14.76   6.13   4.45  -2.42  -5.55   1.47   0.34
   12 1994  43.62  12.18   3.06  -7.30   0.82   2.06  -1.58  -1.94  -1.14   0.48
    1 1995  47.14  15.05  15.81   3.10   4.31  -1.06   0.44  -2.74   0.01   0.22
    2 1995  32.30   7.54  10.20   1.87   2.30  -2.09   2.28  -1.56   0.47   0.48
    3 1995  31.20   5.13   8.74   2.57   2.31   1.68   4.11   1.51  -0.64   0.43
    4 1995  35.78  13.64   2.21   7.54   0.77   2.78   1.94   3.09  -1.09   0.03
    5 1995  23.99  35.45  -7.75  10.23  -2.18   1.58   0.03   1.69   1.01  -0.09
    6 1995   8.39  43.52  -9.05  -0.13  -5.93  -2.77   4.22   0.33   1.67   0.14
    7 1995  -5.63  41.92  -8.44   5.25   4.28  -4.60   4.31   0.05   1.28   0.10
    8 1995 -15.99  36.66 -11.76   7.96   4.59  -4.76   2.94  -1.62  -0.92   0.15
    9 1995 -19.71  29.34 -10.29   3.25   2.01  -2.34   2.01   0.51  -0.32   0.06
   10 1995 -25.83  22.01  -6.96   4.19   3.11   2.42   1.12   0.80  -0.55  -0.09
   11 1995 -32.04  14.89  -6.89   3.39  -6.52   4.26  -4.37  -1.51  -2.78   0.52
   12 1995 -34.16   6.38   1.59   5.40  -1.34   5.62  -1.28  -1.34  -0.33   0.68
    1 1996 -38.49   3.65  -2.36   6.47  -3.06   4.57  -1.47  -3.14  -1.53   0.30
    2 1996 -41.26  -0.06  -1.24   8.23   0.20   8.78  -0.38  -2.48   0.48   0.14
    3 1996 -42.44  -6.23  -1.32   0.72 -11.47   5.10  -4.71  -1.97   0.26   0.09
    4 1996 -43.65 -11.64  -5.22   7.31  -4.39   2.91   0.59   2.73  -1.56   0.32
    5 1996 -41.70 -18.68 -13.74   3.48  -1.89  -0.70   2.67   3.34  -0.01  -0.29
    6 1996 -27.23 -34.59  -1.47  -2.81  11.63  -5.43   7.47  -1.13   2.23   0.36
    7 1996 -26.81 -36.26  -3.80 -10.10   3.22  -8.26   2.08  -3.76   0.59   0.68
    8 1996 -18.76 -43.68  -2.13  -8.48   3.02  -1.84  -3.62   0.37   0.03   0.41
    9 1996   0.70 -48.41  -0.76  -3.91  -5.74   0.45 -10.69   0.72   1.54   0.50
   10 1996  18.47 -47.79  -6.57   3.24  -8.01   1.43  -2.15  -4.35  -1.75  -0.09
   11 1996  34.46 -41.35  -8.49   6.25  -7.80   6.61   3.05   0.47   0.34  -0.77
   12 1996  40.33 -26.03 -15.97   3.21  -3.41  -5.49   0.14   3.73  -0.86   0.45
    1 1997  45.02 -21.69  -9.14   0.61   5.22  -3.97   1.01   4.68  -0.08  -0.00
    2 1997  48.20 -15.87  -2.40  -4.11   2.18 -12.78  -3.00  -4.19  -0.97   0.10
    3 1997  52.95 -12.44   1.20  -4.86   9.77   2.47   0.25  -3.89   0.43   0.03
    4 1997  56.59   4.72  13.49  -0.30   5.50   0.67   0.31  -3.62  -0.40   0.28
    5 1997  55.84  13.92  16.64  -2.83  -0.74   3.88   2.35   0.53   0.64  -0.11
    6 1997  49.10  26.39  18.06   2.95  -1.54   0.22   2.00   3.72   0.35  -0.48
    7 1997  29.82  32.08  12.81  15.87   6.11  -6.48   1.45   0.28   1.64   0.39
    8 1997  22.44  32.00   8.87  18.41   7.06  -4.64   0.95  -0.33   0.47   0.14
    9 1997  15.10  31.19  -0.11  19.69   7.19  -1.35  -0.85   0.13   1.02   0.09
   10 1997   0.03  32.25  -6.28  12.69   6.91   3.51  -0.81  -1.36  -1.07  -0.34
   11 1997 -17.07  28.53  -3.63   9.82   6.23   6.93  -3.27   0.28  -0.10   0.54
   12 1997 -25.14  18.27  -1.60   2.16   2.47  12.37  -7.15   0.13   3.93   1.05
    1 1998 -23.73  12.05   7.17  -1.10   4.09  10.40  -3.53  -2.10   2.16  -0.64
    2 1998 -29.66   9.73   8.93   1.34   7.76   8.34  -0.28  -0.48   1.05   0.14
    3 1998 -33.91   3.08   6.84  -2.04   0.81   9.49  -3.47  -2.87   2.05  -0.61
    4 1998 -40.23  -6.40  -1.02  12.87   1.46   4.34   1.33   0.81   0.26   0.46
    5 1998 -35.77 -19.48 -15.70   1.54  -1.83  -2.04   1.11   1.57   2.08   0.91
    6 1998 -23.79 -33.95  -5.28 -14.53  -1.14  -6.20   4.35  -1.59   3.67  -1.21
    7 1998 -12.36 -39.46  -1.19  -9.35   1.89  -4.43  -3.41  -2.32   1.92   1.31
    8 1998   7.01 -45.27   0.47   2.72   5.38   0.71  -6.75  -1.83  -0.60  -0.69
    9 1998  20.40 -44.75  -9.69   7.80   0.63   1.23   0.47  -2.82  -1.22   0.53
   10 1998  29.45 -42.97 -12.96   7.19  -4.32   0.35   5.47  -2.31  -0.53  -0.08
   11 1998  44.51 -31.50 -15.60   0.22   1.68  -3.95   0.88   3.51  -5.51  -0.29
   12 1998  47.72 -15.85 -16.72  -8.08  -1.53  -8.87  -3.34  -0.42  -4.01   0.43
    1 1999  44.91  -8.76  -9.34 -12.99  -3.97  -5.80  -3.92  -8.43   2.24   2.64
    2 1999  51.90  -1.11  -0.52  -0.63   9.82   7.72  -1.54  -6.73   1.67   0.32
    3 1999  37.03   4.58   8.32  -9.46 -14.31  -2.73  -4.39  -2.17  -0.25   0.81
    4 1999  47.95  12.12  11.24  -1.35  -8.88  -3.38  -1.44  -1.54  -1.87  -0.16
    5 1999  38.40  19.61   5.29   1.28  -6.38  -3.95  -1.95  -1.94   1.05   1.21
    6 1999  23.08  37.17  -3.36   6.94  -6.09  -3.12  -3.42  -1.19  -0.05   1.37
    7 1999  12.63  34.45  -5.43   7.34  -1.17  -4.33  -1.08  -0.65  -2.13  -0.00
    8 1999   8.60  34.42  -5.23   9.26   2.30  -0.57  -1.15   1.69  -2.05  -0.70
    9 1999   4.66  31.79  -6.45   9.14   4.64   0.51   0.27   1.43  -1.56  -0.26
   10 1999 -10.13  33.14  -5.42   3.30   4.30  -0.51   1.83  -0.07  -4.82  -0.83
   11 1999 -21.46  30.04  -5.33  -0.70   3.54   2.88   1.68   0.57  -0.46   1.51
   12 1999 -28.58  28.71  -1.85  -9.84  -5.42  -2.11  -4.29  -0.58  -3.38  -1.43
    1 2000 -31.28  26.74  -0.13  -2.69   5.97   0.08  -3.82   0.85  -0.43  -0.15
    2 2000 -29.73  24.85   0.63 -10.46  -0.53  -4.28  -3.34  -0.51  -2.39  -1.63
    3 2000 -30.64  25.78   1.42 -10.44   2.45  -4.93  -1.43   0.38  -1.49  -0.02
    4 2000 -34.05  22.78   1.56 -10.49   0.43  -4.91  -5.73  -0.19  -2.43  -1.11
    5 2000 -40.95  20.14   1.40  -1.17  -0.24  -0.31  -3.69  -2.65  -0.35  -0.37
    6 2000 -49.41  13.68   1.66   7.69  -1.76   1.49   0.36  -4.32  -2.01   0.24
    7 2000 -45.72   2.27  10.81   5.39  -2.10   0.69   3.36  -3.25  -0.51   0.09
    8 2000 -50.66   0.01   7.80   7.83   0.61  -0.21   5.17  -3.20  -2.48  -1.04
    9 2000 -55.28   0.56   1.36   4.62  -0.61   3.86   3.57  -1.54  -0.78  -0.64
   10 2000 -52.40  -5.98  -2.34   0.90  -0.09   2.50   1.74   0.07  -3.04  -0.84
   11 2000 -42.51 -14.78   8.45 -11.99  -2.52   0.45   6.12   2.58   2.88  -0.27
   12 2000 -37.82 -19.65  11.67 -14.73  -7.39  -2.79   7.98   0.01  -1.38   0.53
    1 2001 -31.92 -22.66  15.84 -10.16 -11.63  -2.41   6.58  -1.90  -1.10  -0.90
    2 2001 -36.20 -21.71  10.40  -7.58  -8.97  -4.18   6.83  -4.73  -3.84  -0.32
    3 2001 -31.41 -24.87  15.75 -10.69  -5.13   3.52   9.76  -0.06  -0.89  -1.17
    4 2001 -22.74 -31.85  20.72  -4.97  -5.38  -0.49   5.32   1.14   0.56   0.73
    5 2001  -4.65 -39.23  17.89   6.02  -0.80  -1.03  -8.41   3.89  -1.74  -0.76
    6 2001  -0.40 -34.31   4.95  12.72  -1.87  -2.22 -11.32   0.10  -2.85  -0.19
    7 2001  15.23 -32.88  -9.07  13.35  -9.89   2.43  -2.87  -2.99  -1.22   0.60
    8 2001  18.37 -36.75 -11.57  12.80  -5.31   7.05   4.88  -2.21  -1.58  -0.59
